team,group_qualify_prob,round_of_32_prob,round_of_16_prob,quarter_final_prob,semi_final_prob,final_prob,champion_prob
Argentina,1.0,1.0,1.0,1.0,1.0,0.6025,0.3139
Spain,1.0,1.0,1.0,1.0,1.0,0.5225,0.281
France,1.0,1.0,1.0,1.0,1.0,0.4775,0.2423
England,1.0,1.0,1.0,1.0,1.0,0.3975,0.1628
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,1.0,1.0,1.0,0.0,0.0,0.0,0.0
South Africa,1.0,1.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Canada,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,1.0,1.0,1.0,1.0,0.0,0.0,0.0
United States,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Australia,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Japan,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ecuador,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,1.0,1.0,1.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sweden,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ivory Coast,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Norway,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Senegal,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Algeria,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Austria,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Portugal,1.0,1.0,1.0,0.0,0.0,0.0,0.0
DR Congo,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ghana,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0
