team,group_qualify_prob,group_qualify_actual,round_of_16_prob,round_of_16_actual,quarter_final_prob,quarter_final_actual,semi_final_prob,semi_final_actual,final_prob,final_actual,champion_prob,champion_actual
Brazil,0.9396,1,0.9396,1,0.7496,1,0.5695,0,0.4201,0,0.3015,0
Spain,0.835,1,0.835,1,0.6481,0,0.4353,0,0.2722,0,0.1621,0
Argentina,0.853,1,0.853,1,0.5475,0,0.316,0,0.1785,0,0.0907,0
France,0.7732,1,0.7732,1,0.471,1,0.2657,1,0.1246,1,0.0617,1
Colombia,0.8001,1,0.8001,1,0.4814,0,0.2468,0,0.1283,0,0.0593,0
England,0.8102,1,0.8102,1,0.4951,1,0.2343,1,0.1231,0,0.0562,0
Germany,0.7993,0,0.7993,0,0.4291,0,0.2505,0,0.1258,0,0.0548,0
Portugal,0.5922,1,0.5922,1,0.3695,0,0.1892,0,0.0846,0,0.0356,0
Belgium,0.7936,1,0.7936,1,0.4659,1,0.1941,1,0.0907,0,0.0349,0
Uruguay,0.796,1,0.796,1,0.3694,1,0.1848,0,0.0781,0,0.0293,0
Croatia,0.6157,1,0.6157,1,0.2998,1,0.1418,1,0.0565,1,0.0183,0
Peru,0.5148,0,0.5148,0,0.2336,0,0.1014,0,0.036,0,0.0129,0
Sweden,0.5273,1,0.5273,1,0.188,1,0.0878,0,0.0352,0,0.0125,0
Switzerland,0.483,1,0.483,1,0.2181,0,0.0975,0,0.0385,0,0.0116,0
Denmark,0.4931,1,0.4931,1,0.2183,0,0.0885,0,0.0311,0,0.0103,0
Mexico,0.4876,1,0.4876,1,0.1635,0,0.0701,0,0.0254,0,0.0076,0
Poland,0.5022,0,0.5022,0,0.1992,0,0.0664,0,0.0221,0,0.0068,0
Russia,0.712,1,0.712,1,0.2322,1,0.0809,0,0.0219,0,0.0063,0
Serbia,0.3789,0,0.3789,0,0.1556,0,0.0645,0,0.0217,0,0.0057,0
Senegal,0.4083,0,0.4083,0,0.153,0,0.0443,0,0.0148,0,0.0051,0
Morocco,0.2709,0,0.2709,0,0.1242,0,0.045,0,0.0124,0,0.004,0
Iran,0.3019,0,0.3019,0,0.1371,0,0.0482,0,0.0138,0,0.0035,0
Egypt,0.382,0,0.382,0,0.1039,0,0.0316,0,0.0086,0,0.0018,0
Nigeria,0.2664,0,0.2664,0,0.0832,0,0.0264,0,0.0066,0,0.0017,0
Australia,0.2189,0,0.2189,0,0.0646,0,0.0188,0,0.0044,0,0.0014,0
Tunisia,0.239,0,0.239,0,0.0769,0,0.0191,0,0.0056,0,0.0011,0
Japan,0.2894,1,0.2894,1,0.0875,0,0.019,0,0.0053,0,0.0011,0
Iceland,0.2649,0,0.2649,0,0.082,0,0.0247,0,0.0056,0,0.0008,0
Costa Rica,0.1985,0,0.1985,0,0.0607,0,0.0192,0,0.005,0,0.0008,0
South Korea,0.1858,0,0.1858,0,0.0354,0,0.008,0,0.0017,0,0.0004,0
Panama,0.1572,0,0.1572,0,0.041,0,0.0089,0,0.0017,0,0.0002,0
Saudi Arabia,0.11,0,0.11,0,0.0156,0,0.0017,0,0.0001,0,0.0,0
