team,group_qualify_prob,group_qualify_actual,round_of_16_prob,round_of_16_actual,quarter_final_prob,quarter_final_actual,semi_final_prob,semi_final_actual,final_prob,final_actual,champion_prob,champion_actual
Brazil,0.9265,1,0.9265,1,0.7126,1,0.554,0,0.4092,0,0.2861,0
Spain,0.7934,1,0.7934,1,0.6384,0,0.4046,0,0.2313,0,0.1302,0
Germany,0.859,0,0.859,0,0.5274,0,0.3565,0,0.2198,0,0.1143,0
Argentina,0.8338,1,0.8338,1,0.4968,0,0.2912,0,0.1558,0,0.0805,0
France,0.7058,1,0.7058,1,0.4408,1,0.2563,1,0.1236,1,0.0605,1
Peru,0.6591,0,0.6591,0,0.3862,0,0.2141,0,0.1004,0,0.0463,0
Portugal,0.6127,1,0.6127,1,0.4331,0,0.2269,0,0.102,0,0.0436,0
Belgium,0.7422,1,0.7422,1,0.4442,1,0.1848,1,0.0921,0,0.0395,0
England,0.7491,1,0.7491,1,0.45,1,0.1907,1,0.0927,0,0.0391,0
Colombia,0.7452,1,0.7452,1,0.4288,0,0.1911,0,0.0936,0,0.0389,0
Uruguay,0.7974,1,0.7974,1,0.3562,1,0.1635,0,0.0615,0,0.0221,0
Mexico,0.5864,1,0.5864,1,0.2208,0,0.109,0,0.0469,0,0.0179,0
Switzerland,0.5,1,0.5,1,0.217,0,0.108,0,0.0462,0,0.0179,0
Croatia,0.5826,1,0.5826,1,0.2446,1,0.1077,1,0.0377,1,0.0112,0
Iran,0.3571,0,0.3571,0,0.2028,0,0.0815,0,0.0273,0,0.0083,0
Poland,0.485,0,0.485,0,0.207,0,0.0682,0,0.0248,0,0.0081,0
Denmark,0.3671,1,0.3671,1,0.1552,0,0.0623,0,0.0188,0,0.0057,0
Senegal,0.4413,0,0.4413,0,0.1783,0,0.0506,0,0.0163,0,0.0053,0
Costa Rica,0.3333,0,0.3333,0,0.1142,0,0.0448,0,0.0144,0,0.0036,0
Australia,0.268,0,0.268,0,0.1043,0,0.038,0,0.0116,0,0.003,0
Sweden,0.3163,1,0.3163,1,0.0846,1,0.0314,0,0.0104,0,0.0028,0
Iceland,0.3735,0,0.3735,0,0.1224,0,0.042,0,0.0108,0,0.0026,0
Morocco,0.2368,0,0.2368,0,0.1162,0,0.037,0,0.0089,0,0.0023,0
Serbia,0.2402,0,0.2402,0,0.0692,0,0.0256,0,0.0073,0,0.0019,0
Japan,0.3285,1,0.3285,1,0.1147,0,0.0281,0,0.0078,0,0.0019,0
South Korea,0.2383,0,0.2383,0,0.0542,0,0.0184,0,0.0055,0,0.0015,0
Russia,0.5356,1,0.5356,1,0.1166,1,0.0305,0,0.006,0,0.0011,0
Egypt,0.3869,0,0.3869,0,0.0846,0,0.0208,0,0.0043,0,0.0011,0
Tunisia,0.2546,0,0.2546,0,0.0874,0,0.0174,0,0.0033,0,0.0009,0
Panama,0.2541,0,0.2541,0,0.0896,0,0.0214,0,0.0048,0,0.0008,0
Nigeria,0.2101,0,0.2101,0,0.0497,0,0.0122,0,0.0025,0,0.0005,0
Saudi Arabia,0.2801,0,0.2801,0,0.0521,0,0.0114,0,0.0024,0,0.0005,0
