team,group_qualify_prob,round_of_32_prob,round_of_16_prob,quarter_final_prob,semi_final_prob,final_prob,champion_prob
Spain,0.992,0.992,0.5745,0.4685,0.341,0.2405,0.2405
Argentina,0.968,0.968,0.5095,0.3675,0.24,0.1425,0.1425
France,0.944,0.944,0.4685,0.3165,0.175,0.1025,0.1025
England,0.958,0.958,0.422,0.2605,0.146,0.068,0.068
Brazil,0.9375,0.9375,0.367,0.2235,0.119,0.0575,0.0575
Ecuador,0.9475,0.9475,0.299,0.1675,0.0735,0.041,0.041
Colombia,0.916,0.916,0.3325,0.195,0.101,0.04,0.04
Portugal,0.8975,0.8975,0.2915,0.145,0.071,0.033,0.033
Germany,0.9255,0.9255,0.274,0.1415,0.0615,0.027,0.027
Mexico,0.9915,0.9915,0.329,0.1555,0.0615,0.027,0.027
Netherlands,0.891,0.891,0.2795,0.1255,0.054,0.0235,0.0235
Uruguay,0.8975,0.8975,0.2105,0.1055,0.0505,0.023,0.023
Belgium,0.877,0.877,0.283,0.108,0.0495,0.0225,0.0225
Japan,0.8795,0.8795,0.2605,0.122,0.0565,0.0195,0.0195
Morocco,0.8715,0.8715,0.258,0.1205,0.048,0.0195,0.0195
Switzerland,0.944,0.944,0.267,0.11,0.048,0.0195,0.0195
Norway,0.7675,0.7675,0.204,0.092,0.038,0.0145,0.0145
Croatia,0.864,0.864,0.1875,0.083,0.0295,0.0115,0.0115
Turkey,0.7815,0.7815,0.2175,0.0845,0.0365,0.0105,0.0105
South Korea,0.9615,0.9615,0.2275,0.08,0.0245,0.01,0.01
Algeria,0.6815,0.6815,0.1075,0.0425,0.017,0.007,0.007
Iran,0.8045,0.8045,0.1985,0.0695,0.0275,0.007,0.007
United States,0.9595,0.9595,0.2155,0.0625,0.022,0.0065,0.0065
Senegal,0.6655,0.6655,0.1295,0.045,0.017,0.006,0.006
Canada,0.881,0.881,0.1655,0.06,0.021,0.0045,0.0045
Austria,0.641,0.641,0.101,0.0385,0.017,0.0045,0.0045
Panama,0.6605,0.6605,0.081,0.0245,0.008,0.0035,0.0035
Australia,0.6465,0.6465,0.1215,0.045,0.014,0.0025,0.0025
Scotland,0.5875,0.5875,0.0775,0.021,0.006,0.002,0.002
Paraguay,0.3485,0.3485,0.0475,0.016,0.0065,0.0015,0.0015
Ivory Coast,0.6155,0.6155,0.063,0.014,0.0045,0.001,0.001
Egypt,0.599,0.599,0.07,0.019,0.005,0.001,0.001
Haiti,0.2805,0.2805,0.0115,0.0025,0.0,0.0,0.0
Czech Republic,0.472,0.472,0.053,0.011,0.001,0.0,0.0
Bosnia and Herzegovina,0.5835,0.5835,0.033,0.003,0.0005,0.0,0.0
Qatar,0.2675,0.2675,0.008,0.0,0.0,0.0,0.0
South Africa,0.2075,0.2075,0.008,0.001,0.0,0.0,0.0
Curaçao,0.196,0.196,0.0055,0.001,0.0,0.0,0.0
Sweden,0.4505,0.4505,0.0285,0.008,0.0005,0.0,0.0
Tunisia,0.4765,0.4765,0.0345,0.0095,0.001,0.0,0.0
Cape Verde,0.2445,0.2445,0.0075,0.0015,0.0,0.0,0.0
Saudi Arabia,0.3455,0.3455,0.011,0.002,0.0005,0.0,0.0
New Zealand,0.4445,0.4445,0.044,0.0065,0.0015,0.0,0.0
Iraq,0.2955,0.2955,0.027,0.0035,0.0,0.0,0.0
Jordan,0.36,0.36,0.0165,0.005,0.001,0.0,0.0
DR Congo,0.352,0.352,0.025,0.004,0.001,0.0,0.0
Uzbekistan,0.5085,0.5085,0.0405,0.0115,0.003,0.0,0.0
Ghana,0.2125,0.2125,0.006,0.0005,0.0,0.0,0.0
