team,furthest
Argentina,champion
France,final
Croatia,semi_final
Morocco,semi_final
Netherlands,quarter_final
England,quarter_final
Brazil,quarter_final
Portugal,quarter_final
Senegal,round_of_16
United States,round_of_16
Poland,round_of_16
Australia,round_of_16
Japan,round_of_16
Spain,round_of_16
Switzerland,round_of_16
South Korea,round_of_16
Qatar,group
Ecuador,group
Iran,group
Wales,group
Saudi Arabia,group
Mexico,group
Denmark,group
Tunisia,group
Costa Rica,group
Germany,group
Canada,group
Belgium,group
Serbia,group
Cameroon,group
Ghana,group
Uruguay,group
